*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 29, 2025 16:23:24

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2012 201    49   0.000    0.00       0    0.00
 2012 202    50   0.000    0.00       0    0.00
 2012 203    51   0.000    0.00       0    0.00
 2012 204    52   0.000    0.00       0    0.00
 2012 205    53   0.000    0.00       0    0.00
 2012 206    54   0.000    0.00       0    0.00
 2012 207    55   0.000    0.00       0    0.00
 2012 208    56   0.000    0.00       0    0.00
 2012 209    57   0.000    0.00       0    0.00
 2012 210    58   0.000    0.00       0    0.00
 2012 211    59   0.000    0.00       0    0.00
 2012 212    60   0.000    0.00       0    0.00
 2012 213    61   0.000    0.00       0    0.00
 2012 214    62   0.000    0.00       0    0.00
 2012 215    63   0.000    0.00       0    0.00
 2012 216    64   0.000    0.00       0    0.00
 2012 217    65   0.000    0.00       0    0.00
 2012 218    66   0.000    0.00       0    0.00
 2012 219    67   0.000    0.00       0    0.00
 2012 220    68   0.000    0.00       0    0.00
 2012 221    69   0.000    0.00       0    0.00
 2012 222    70   0.000    0.00       0    0.00
 2012 223    71   0.000    0.00       0    0.00
 2012 224    72   0.000    0.00       0    0.00
 2012 225    73   0.000    0.00       0    0.00
 2012 226    74   0.000    0.00       0    0.00
 2012 227    75   0.000    0.00       0    0.00
 2012 228    76   0.000    0.00       0    0.00
 2012 229    77   0.000    0.00       0    0.00
 2012 230    78   0.000    0.00       0    0.00
 2012 231    79   0.000    0.00       0    0.00
 2012 232    80   0.000    0.00       0    0.00
 2012 233    81   0.000    0.00       0    0.00
 2012 234    82   0.000    0.00       0    0.00
 2012 235    83   0.000    0.00       0    0.00
 2012 236    84   0.000    0.00       0    0.00
 2012 237    85   0.000    0.00       0    0.00
 2012 238    86   0.000    0.00       0    0.00
 2012 239    87   0.000    0.00       0    0.00
 2012 240    88   0.000    0.00       0    0.00
 2012 241    89   0.000    0.00       0    0.00
 2012 242    90   0.000    0.00       0    0.00
 2012 243    91   0.000    0.00       0    0.00
 2012 244    92   0.000    0.00       0    0.00
 2012 245    93   0.000    0.00       0    0.00
 2012 246    94   0.000    0.00       0    0.00
 2012 247    95   0.000    0.00       0    0.00
 2012 248    96   0.000    0.00       0    0.00
 2012 249    97   0.000    0.00       0    0.00
 2012 250    98   0.000    0.00       0    0.00
 2012 251    99   0.000    0.00       0    0.00
 2012 252   100   0.000    0.00       0    0.00
 2012 253   101   0.000    0.00       0    0.00
 2012 254   102   0.000    0.00       0    0.00
 2012 255   103   0.000    0.00       0    0.00
 2012 256   104   0.000    0.00       0    0.00
 2012 257   105   0.000    0.00       1    0.00
 2012 258   106   0.000    0.00       1    0.00
 2012 259   107   0.000    0.00       1    0.00
 2012 260   108   0.000    0.00       1    0.00
 2012 261   109   0.001    0.00       1    0.00
 2012 262   110   0.001    0.00       2    0.00
 2012 263   111   0.001    0.00       2    0.00
 2012 264   112   0.001    0.00       3    0.00
 2012 265   113   0.001    0.00       3    0.00
 2012 266   114   0.002    0.00       4    0.00
 2012 267   115   0.002    0.00       5    0.00
 2012 268   116   0.002    0.00       5    0.00
 2012 269   117   0.003    0.00       6    0.00
 2012 270   118   0.003    0.00       7    0.00
 2012 271   119   0.003    0.00       9    0.00
 2012 272   120   0.004    0.00      10    0.00
 2012 273   121   0.004    0.00      11    0.00
 2012 274   122   0.005    0.00      13    0.00
 2012 275   123   0.006    0.00      14    0.00
 2012 276   124   0.006    0.00      16    0.01
 2012 277   125   0.007    0.00      17    0.01
 2012 278   126   0.008    0.00      19    0.01
 2012 279   127   0.008    0.00      21    0.01
 2012 280   128   0.009    0.00      23    0.01
 2012 281   129   0.010    0.00      25    0.01
 2012 282   130   0.011    0.00      27    0.01
 2012 283   131   0.012    0.00      29    0.01
 2012 284   132   0.012    0.00      31    0.01
 2012 285   133   0.013    0.00      34    0.01
 2012 286   134   0.015    0.00      37    0.01
 2012 287   135   0.016    0.00      40    0.01
 2012 288   136   0.017    0.00      42    0.01
 2012 289   137   0.018    0.00      45    0.02
 2012 290   138   0.019    0.00      48    0.02
 2012 291   139   0.020    0.00      51    0.02
 2012 292   140   0.021    0.00      54    0.02
 2012 293   141   0.023    0.00      57    0.02
 2012 294   142   0.024    0.00      61    0.02
 2012 295   143   0.026    0.00      66    0.02
 2012 296   144   0.028    0.00      71    0.03
 2012 297   145   0.030    0.00      76    0.02
 2012 298   146   0.032    0.00      81    0.02
 2012 299   147   0.034    0.00      87    0.03
 2012 300   148   0.037    0.00      93    0.03
 2012 301   149   0.039    0.00     100    0.04
 2012 302   150   0.042    0.00     107    0.04
 2012 303   151   0.044    0.00     113    0.04
 2012 304   152   0.047    0.00     120    0.04
 2012 305   153   0.050    0.00     128    0.03
 2012 306   154   0.053    0.00     136    0.03
 2012 307   155   0.057    0.00     146    0.03
 2012 308   156   0.060    0.00     156    0.06
 2012 309   157   0.064    0.00     165    0.05
 2012 310   158   0.067    0.00     175    0.05
 2012 311   159   0.071    0.00     185    0.05
 2012 312   160   0.076    0.00     197    0.04
 2012 313   161   0.080    0.01     209    0.04
 2012 314   162   0.085    0.01     222    0.04
 2012 315   163   0.090    0.01     236    0.04
 2012 316   164   0.095    0.01     250    0.03
 2012 317   165   0.101    0.01     265    0.03
 2012 318   166   0.106    0.01     281    0.03
 2012 319   167   0.112    0.01     297    0.03
 2012 320   168   0.118    0.01     313    0.09
 2012 321   169   0.124    0.01     330    0.11
 2012 322   170   0.129    0.01     346    0.10
 2012 323   171   0.129    0.01     346    0.13
 2012 324   172   0.129    0.01     345    0.12
