*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2012 201    49   0.000    0.00       0    0.00
 2012 202    50   0.000    0.00       0    0.00
 2012 203    51   0.000    0.00       0    0.00
 2012 204    52   0.000    0.00       0    0.00
 2012 205    53   0.000    0.00       0    0.00
 2012 206    54   0.000    0.00       0    0.00
 2012 207    55   0.000    0.00       0    0.00
 2012 208    56   0.000    0.00       0    0.00
 2012 209    57   0.000    0.00       0    0.00
 2012 210    58   0.000    0.00       0    0.00
 2012 211    59   0.000    0.00       0    0.00
 2012 212    60   0.000    0.00       0    0.00
 2012 213    61   0.000    0.00       0    0.00
 2012 214    62   0.000    0.00       0    0.00
 2012 215    63   0.000    0.00       0    0.00
 2012 216    64   0.000    0.00       0    0.00
 2012 217    65   0.000    0.00       0    0.00
 2012 218    66   0.000    0.00       0    0.00
 2012 219    67   0.000    0.00       0    0.00
 2012 220    68   0.000    0.00       0    0.00
 2012 221    69   0.000    0.00       0    0.00
 2012 222    70   0.000    0.00       0    0.00
 2012 223    71   0.000    0.00       0    0.00
 2012 224    72   0.000    0.00       0    0.00
 2012 225    73   0.000    0.00       0    0.00
 2012 226    74   0.000    0.00       0    0.00
 2012 227    75   0.000    0.00       0    0.00
 2012 228    76   0.000    0.00       0    0.00
 2012 229    77   0.000    0.00       0    0.00
 2012 230    78   0.000    0.00       0    0.00
 2012 231    79   0.000    0.00       0    0.00
 2012 232    80   0.000    0.00       0    0.00
 2012 233    81   0.000    0.00       0    0.00
 2012 234    82   0.000    0.00       0    0.00
 2012 235    83   0.000    0.00       0    0.00
 2012 236    84   0.000    0.00       0    0.00
 2012 237    85   0.000    0.00       0    0.00
 2012 238    86   0.000    0.00       0    0.00
 2012 239    87   0.000    0.00       0    0.00
 2012 240    88   0.000    0.00       0    0.00
 2012 241    89   0.000    0.00       0    0.00
 2012 242    90   0.000    0.00       0    0.00
 2012 243    91   0.000    0.00       0    0.00
 2012 244    92   0.000    0.00       0    0.00
 2012 245    93   0.000    0.00       0    0.00
 2012 246    94   0.000    0.00       0    0.00
 2012 247    95   0.000    0.00       0    0.00
 2012 248    96   0.000    0.00       0    0.00
 2012 249    97   0.000    0.00       0    0.00
 2012 250    98   0.000    0.00       0    0.00
 2012 251    99   0.000    0.00       0    0.00
 2012 252   100   0.000    0.00       0    0.00
 2012 253   101   0.000    0.00       0    0.00
 2012 254   102   0.000    0.00       0    0.00
 2012 255   103   0.000    0.00       0    0.00
 2012 256   104   0.000    0.00       0    0.00
 2012 257   105   0.000    0.00       0    0.00
 2012 258   106   0.000    0.00       0    0.00
 2012 259   107   0.000    0.00       0    0.00
 2012 260   108   0.000    0.00       1    0.00
 2012 261   109   0.000    0.00       1    0.00
 2012 262   110   0.001    0.00       1    0.00
 2012 263   111   0.001    0.00       2    0.00
 2012 264   112   0.001    0.00       2    0.00
 2012 265   113   0.001    0.00       3    0.00
 2012 266   114   0.002    0.00       4    0.00
 2012 267   115   0.002    0.00       5    0.00
 2012 268   116   0.003    0.00       7    0.00
 2012 269   117   0.003    0.00       8    0.00
 2012 270   118   0.004    0.00      10    0.00
 2012 271   119   0.005    0.00      12    0.00
 2012 272   120   0.006    0.00      14    0.00
 2012 273   121   0.007    0.00      17    0.01
 2012 274   122   0.008    0.00      21    0.01
 2012 275   123   0.010    0.00      26    0.01
 2012 276   124   0.013    0.00      32    0.01
 2012 277   125   0.015    0.00      39    0.01
 2012 278   126   0.019    0.00      47    0.01
 2012 279   127   0.022    0.00      56    0.02
 2012 280   128   0.026    0.00      66    0.02
 2012 281   129   0.031    0.00      78    0.03
 2012 282   130   0.035    0.00      90    0.03
 2012 283   131   0.040    0.00     102    0.03
 2012 284   132   0.045    0.00     116    0.04
 2012 285   133   0.051    0.00     131    0.04
 2012 286   134   0.057    0.00     146    0.05
 2012 287   135   0.063    0.00     162    0.06
 2012 288   136   0.069    0.00     179    0.06
 2012 289   137   0.076    0.00     197    0.07
 2012 290   138   0.083    0.01     217    0.07
 2012 291   139   0.091    0.01     237    0.08
 2012 292   140   0.098    0.01     258    0.09
 2012 293   141   0.106    0.01     280    0.10
 2012 294   142   0.114    0.01     302    0.11
 2012 295   143   0.121    0.01     324    0.11
 2012 296   144   0.129    0.01     347    0.12
 2012 297   145   0.137    0.02     369    0.13
 2012 298   146   0.145    0.02     393    0.14
 2012 299   147   0.154    0.02     417    0.15
 2012 300   148   0.163    0.02     444    0.14
 2012 301   149   0.172    0.03     471    0.17
 2012 302   150   0.181    0.03     500    0.17
 2012 303   151   0.190    0.03     525    0.19
 2012 304   152   0.198    0.03     552    0.20
 2012 305   153   0.205    0.04     575    0.21
 2012 306   154   0.213    0.04     600    0.22
 2012 307   155   0.221    0.04     625    0.18
 2012 308   156   0.231    0.05     656    0.17
 2012 309   157   0.241    0.05     688    0.16
 2012 310   158   0.251    0.06     722    0.17
 2012 311   159   0.262    0.06     759    0.16
 2012 312   160   0.273    0.07     797    0.20
 2012 313   161   0.284    0.08     837    0.29
 2012 314   162   0.296    0.08     877    0.29
 2012 315   163   0.307    0.09     916    0.33
 2012 316   164   0.317    0.10     954    0.34
 2012 317   165   0.328    0.10     992    0.25
 2012 318   166   0.338    0.11    1033    0.18
 2012 319   167   0.336    0.11    1025    0.13
 2012 320   168   0.335    0.11    1019    0.09
